Codice,Varieta,Codice del clone,Nome del clone,Data di approvazione,Costitutore,Sinonimi,Annotazioni,Gazzetta ufficiale,Data G.U.
,,001,I-CAB 1,2023-10-26,,,,Gu,0000-00-00
000,TESOLA NERA,,,2023-10-26,,,,G.U.,2023-11-22
000,BREPONA,,,2023-10-26,,,,G.U.,2023-11-22
001,ABBUOTO N.,,,1970-05-25,,,,G.U. 149,1970-06-17
002,AGLIANICO N.,,,1970-05-25,,"(266) AGLIANICO DEL VULTURE N., GLIANICA, GLIANICO, ELLANICO, ELLENICO",,G.U. 149,1970-06-17
002,AGLIANICO N.,001,I - VCR 7,1994-10-26,2,,,G.U. 273,1994-11-22
002,AGLIANICO N.,002,I - VCR 2,1995-03-03,2,,,G.U. 72,1995-03-27
002,AGLIANICO N.,003,I - VCR 13,1996-10-09,2,,,G.U. 258,1996-11-04
002,AGLIANICO N.,004,I - AV 02,1999-03-01,31,,,G.U. 85,1999-04-13
002,AGLIANICO N.,005,I - AV 05,1999-03-01,31,,,G.U. 85,1999-04-13
002,AGLIANICO N.,006,I - AV 09,1999-03-01,31,,,G.U. 85,1999-04-13
002,AGLIANICO N.,007,I - VCR 23,1999-03-01,2,,,G.U. 86,1999-04-14
002,AGLIANICO N.,008,I - VCR 111,2004-05-07,2,,,G.U. 242,2004-10-14
002,AGLIANICO N.,009,I - VCR 106,2006-02-02,2,,,G.U. 61,2006-03-14
002,AGLIANICO N.,010,I - VCR 109,2006-02-02,2,,,G.U. 61,2006-03-14
002,AGLIANICO N.,011,I - VCR 103,2006-02-02,2,,,G.U. 61,2006-03-14
002,AGLIANICO N.,012,I - UNIMI-VITIS-AGT VV 421,2006-02-02,33/58,,,G.U. 61,2006-03-14
002,AGLIANICO N.,013,I - UNIMI-VITIS-AGTB VV 411,2006-02-02,33/58,,,G.U. 61,2006-03-14
002,AGLIANICO N.,014,I - BN 2.09.014,2007-09-19,31,,,G.U. 253,2007-10-30
002,AGLIANICO N.,015,I - BN 2.09.025,2007-09-19,31,,,G.U. 253,2007-10-30
002,AGLIANICO N.,016,I - Ampelos TEA 22,2008-01-28,59/60,,,G.U. 62,2008-03-13
002,AGLIANICO N.,017,I - Ampelos TEA 23,2008-01-28,59/60,,,G.U. 62,2008-03-13
002,AGLIANICO N.,018,I - CRSA - Regione Puglia D382,2010-05-28,66/71/11/80,,,G. U. 189,2010-08-14
002,AGLIANICO N.,019,I - CRSA - Regione Puglia D386,2010-05-28,66/71/11/80,,,G. U. 189,2010-08-14
002,AGLIANICO N.,020,I - VCR 487,2018-05-30,2,,,G.U. 133,2018-06-11
002,AGLIANICO N.,021,I - VCR 488,2018-05-30,2,,,G.U. 133,2018-06-11
002,AGLIANICO N.,022,I - VCR 490,2018-05-30,2,,,G.U. 133,2018-06-11
002,AGLIANICO N.,023,I - VCR 491,2018-05-30,2,,,G.U. 133,2018-06-11
002,AGLIANICO N.,024,I - VCR 381,2020-06-09,2,,,G.U. 152,2020-06-17
002,AGLIANICO N.,025,I - VCR 421 Antonio Mastroberardino,2021-02-10,2,,,G.U. 43,2021-02-20
003,AGLIANICONE N.,,,1971-03-22,,,,G.U. 98,1971-04-24
004,ALBANA B.,,,1970-05-25,,,,G.U. 149,1970-06-17
004,ALBANA B.,001,I - RAUSCEDO 4 (Serra),1969-12-24,2,,,D.P.R. 1164/69 in G.U. 48,1970-02-24
004,ALBANA B.,002,I - AL 7 T,1976-02-02,8,,,G.U. 136,1976-05-24
004,ALBANA B.,003,I - AL 14 T,1976-02-02,8,,,G.U. 136,1976-05-24
004,ALBANA B.,004,I - AL 18 T,1976-02-02,8,,,G.U. 136,1976-05-24
004,ALBANA B.,005,I - AL 19 T,1976-02-02,8,,,G.U. 136,1976-05-24
004,ALBANA B.,006,I - AL 17 T,1977-06-10,8,,,G.U. 238,1977-09-01
004,ALBANA B.,007,I - VCR 21,1994-11-24,2,,,G.U. 295,1994-12-19
004,ALBANA B.,008,I - Ampelos DGV 10,2014-10-20,60-65,,,G.U. 258,2014-06-11
004,ALBANA B.,009,I - Ampelos DGV 15,2014-10-20,60-65,,,G.U. 258,2014-06-11
004,ALBANA B.,010,I - Ampelos DGV 24,2014-10-20,60-65,,,G.U. 258,2014-06-11
004,ALBANA B.,011,I - VCR 462,2017-10-05,2,,,G.U.256,2017-11-02
005,ALBANELLO B.,,,1971-03-22,,,,G.U. 98,1971-04-24
005,ALBANELLO B.,001,I - Albanello Regione Sicilia 31,2014-05-15,84/4,,,G.U. 127,2014-06-04
006,ALBARANZEULI BIANCO B.,,,1970-05-25,,,,G.U. 149,1970-06-17
007,ALBARANZEULI NERO N.,,,1971-02-22,,,,G.U. 71,1971-03-22
008,ALBAROLA B.,,,1970-05-25,,(26) BIANCHETTA GENOVESE B.,,G.U. 149,1970-06-17
008,ALBAROLA B.,001,I - CVT 3,2002-11-27,12,,,G.U. 19,2003-01-24
008,ALBAROLA B.,002,I - CVT 14,2008-06-23,12,,,G.U. 194,2008-08-20
008,ALBAROLA B.,003,I - CVT 17,2008-06-23,12,,,G.U. 194,2008-08-20
008,ALBAROLA B.,004,I - CVT Kihlgren,2012-03-23,12,,,G.U. 137,2012-06-14
009,ALEATICO N.,,,1970-05-25,,,,G.U. 149,1970-06-17
009,ALEATICO N.,001,I - AL-PA ,2007-01-09,15/9,,,G.U. 38,2007-02-15
009,ALEATICO N.,002,I - VCR 438,2009-03-27,2,,,G.U. 146,2009-06-26
009,ALEATICO N.,003,I - ARSIAL-CRA 489,2009-03-27,1/63/72,,,G.U. 146,2009-06-26
009,ALEATICO N.,004,I - AL - VAL - 1,2010-05-28,81/82,,,G. U. 189,2010-08-14
009,ALEATICO N.,005,I - CRA VIC BC SF3,2011-04-22,82/60/90/91,,,G. U. 170,2011-07-23
009,ALEATICO N.,006,I - AL - FI. PI - 1,2012-03-23,87/9/15/37,,,G. U. 137,2012-06-14
009,ALEATICO N.,007,I - Cravit - Assam PU 9B,2015-12-30,1/61,,,G.U. 16,2016-01-21
009,ALEATICO N.,008,I - Cravit - Assam PU 2L,2015-12-30,1/61,,,G.U. 16,2016-01-21
009,ALEATICO N.,009,I - Cravit - Assam PU 6M,2015-12-30,1/61,,,G.U. 16,2016-01-21
