grape,colour,known_also_as
,,
TESOLA NERA,,
BREPONA,,
ABBUOTO,N,
AGLIANICO,N,"(266) AGLIANICO DEL VULTURE N., GLIANICA, GLIANICO, ELLANICO, ELLENICO"
AGLIANICONE,N,
ALBANA,B,
ALBANELLO,B,
ALBARANZEULI BIANCO,B,
ALBARANZEULI NERO,N,
ALBAROLA,B,(26) BIANCHETTA GENOVESE B.
ALEATICO,N,
ALICANTE,N,"(51)CANNONAU N., (236) TOCAI ROSSO N.,CANNONAO, GARNACHA TINTA, GRANACCIA,GRENACHE, GUARNACCIA, GAMAY"
ALICANTE BOUSCHET,N,
ALICANTE bOUSCHET,N,
ANCELLOTTA,N,LANCELLOTTA
ANSONICA,B,"INZOLIA , INSOLIA"
ARNEIS,B,
ARVESINIADU,B,
ASPRINIO BIANCO,B,(097) GRECO B.
AVANA',N,
AVARENGO,N,
BARBERA,N,
BARBERA BIANCA,B,
BARBERA SARDA,N,
BARSAGLINA,N,MASSARETTA
BELLONE,B,CACCHIONE
BERVEDINO,B,(261) VERNACCIA DI S. GIMIGNANO B.
BIANCAME,B,"(244) TREBBIANO TOSCANO B., BIANCHELLO"
BIANCHETTA GENOVESE,B,(8) ALBAROLA B.
BIANCHETTA TREVIGIANA,B,
BIANCO D'ALESSANO,B,
BIANCOLELLA,B,"JANCULILLO, JANCULELLA"
BIANCONE,B,
BOMBINO BIANCO,B,"OTTENESE, BOMBINO, BONVINO"
BOMBINO NERO,N,"BOMBINO, BONVINO"
BONAMICO,N,
BONARDA,N,UVA RARA 
BOSCO,B,
BOVALE GRANDE,N,"(054) CARIGNANO N., BOVALE DI SPAGNA, BOVALE, (164) NERELLO CAPPUCCIO N."
BOVALE,N,BOVALEDDU
BRACCIOLA NERA,N,
BRACHETTO,N,
CABERNET FRANC,N,CABERNET
CABERNET SAUVIGNON,N,CABERNET
CADDIU,N,
CAGNULARI,N,CAGNIULARI
CALABRESE,N,NERO D'AVOLA
CALORIA,N,
CANAIOLO BIANCO,B,"DRUPEGGIO, CANAIOLO "
CANAIOLO NERO,N,
CANINA NERA,N,
CANNONAU,N,"(10) ALICANTE N., (236) TOCAI ROSSO N., GARNACHA TINTA, GRANACCIA , GRENACHE , CANNONAO, GAMAY"
CARICAGIOLA,N,
CARICA L'ASINO,B,
CARIGNANO,N,"(037) BOVALE GRANDE N., (164) NERELLO CAPPUCCIO N."
CARRICANTE,B,
CASTIGLIONE,N,
CATANESE NERO,N,
CATARRATTO BIANCO COMUNE,B,"CATARRATTO, LUCIDO"
CATARRATTO BIANCO LUCIDO,B,CATARRATTO  LUCIDO
CESANESE COMUNE,N,CESANESE
CESANESE D AFFILE,N,
CILIEGIOLO,N,MORETTONE
CLAIRETTE,B,
COCOCCIOLA,B,
CODA DI VOLPE BIANCA,B,CODA DI VOLPE
COLOMBANA NERA,N,
COLORINO,N,
CORINTO NERO,N,
